Name,Type,Set,Set No.,Color,Sub-Type
Bouffalant,Pokémon,Primal Clash,119,{C},0
Bibarel,Pokémon,Primal Clash,118,{C},0
Bidoof,Pokémon,Primal Clash,117,{C},0
Bidoof,Pokémon,Primal Clash,116,{C},0
Spinda,Pokémon,Primal Clash,115,{C},0
Delcatty,Pokémon,Primal Clash,114,{C},0
Skitty,Pokémon,Primal Clash,113,{C},0
Linoone,Pokémon,Primal Clash,112,{C},0
Zigzagoon,Pokémon,Primal Clash,111,{C},0
Flygon,Pokémon,Primal Clash,110,{N},0
Vibrava,Pokémon,Primal Clash,109,{N},0
Kingdra,Pokémon,Primal Clash,108,{N},0
Kingdra,Pokémon,Primal Clash,107,{N},0
M Gardevoir-EX,Pokémon,Primal Clash,106,{Y},0
Gardevoir-EX,Pokémon,Primal Clash,105,{Y},0
Azumarill,Pokémon,Primal Clash,104,{Y},0
Azumarill,Pokémon,Primal Clash,103,{Y},0
Marill,Pokémon,Primal Clash,102,{Y},0
Mr. Mime,Pokémon,Primal Clash,101,{Y},0
Aegislash,Pokémon,Primal Clash,100,{M},0
Doublade,Pokémon,Primal Clash,99,{M},0
Honedge,Pokémon,Primal Clash,98,{M},0
Excadrill,Pokémon,Primal Clash,97,{M},0
Excadrill,Pokémon,Primal Clash,96,{M},0
Taillow,Pokémon,Roaring Skies,70,{C},0
Skarmory,Pokémon,Roaring Skies,69,{C},0
Dunsparce,Pokémon,Roaring Skies,68,{C},0
Meowth,Pokémon,Roaring Skies,67,{C},0
Fearow,Pokémon,Roaring Skies,66,{C},0
Spearow,Pokémon,Roaring Skies,65,{C},0
Zekrom,Pokémon,Roaring Skies,64,{N},0
Reshiram,Pokémon,Roaring Skies,63,{N},0
Hydreigon-EX,Pokémon,Roaring Skies,62,{N},0
M Rayquaza-EX,Pokémon,Roaring Skies,61,{N},0
Rayquaza-EX,Pokémon,Roaring Skies,60,{N},0
M Latios-EX,Pokémon,Roaring Skies,59,{N},0
Latios-EX,Pokémon,Roaring Skies,58,{N},0
Salamence,Pokémon,Roaring Skies,57,{N},0
Shelgon,Pokémon,Roaring Skies,56,{N},0
Bagon,Pokémon,Roaring Skies,55,{N},0
Bagon,Pokémon,Roaring Skies,54,{N},0
Altaria,Pokémon,Roaring Skies,53,{N},0
Dragonite,Pokémon,Roaring Skies,52,{N},0
Dragonite,Pokémon,Roaring Skies,51,{N},0
Pangoro,Pokémon,XY Promos,50,{F},0
Dragonair,Pokémon,Roaring Skies,50,{N},0
Regirock,Pokémon,XY Promos,49,{F},0
Dratini,Pokémon,Roaring Skies,49,{N},0
Klefki,Pokémon,Roaring Skies,48,{Y},0
Meowstic,Pokémon,XY Promos,48,{P},0
Heliolisk,Pokémon,XY Promos,47,{L},0
Carbink,Pokémon,Roaring Skies,47,{Y},0
Togekiss,Pokémon,Roaring Skies,46,{Y},0
Altaria,Pokémon,XY Promos,46,{C},0
Togekiss,Pokémon,Roaring Skies,45,{Y},0
Togetic,Pokémon,Roaring Skies,44,{Y},0
Togepi,Pokémon,Roaring Skies,43,{Y},0
Jirachi,Pokémon,Roaring Skies,42,{M},0
Inkay,Pokémon,Roaring Skies,41,{D},0
Absol,Pokémon,Roaring Skies,40,{D},0
Hawlucha,Pokémon,Roaring Skies,39,{F},0
Binacle,Pokémon,Roaring Skies,38,{F},0
Gliscor,Pokémon,Roaring Skies,37,{F},0
Gligar,Pokémon,Roaring Skies,36,{F},0
M Gallade-EX,Pokémon,Roaring Skies,35,{P},0
Gallade-EX,Pokémon,Roaring Skies,34,{P},0
Deoxys,Pokémon,Roaring Skies,33,{P},0
Banette,Pokémon,Roaring Skies,32,{P},0
Banette,Pokémon,Roaring Skies,31,{P},0
Shuppet,Pokémon,Roaring Skies,30,{P},0
Xatu,Pokémon,Roaring Skies,29,{P},0
Natu,Pokémon,Roaring Skies,28,{P},0
Natu,Pokémon,Roaring Skies,27,{P},0
Thundurus-EX,Pokémon,Roaring Skies,26,{L},0
Manectric,Pokémon,Roaring Skies,25,{L},0
Electrike,Pokémon,Roaring Skies,24,{L},0
Zapdos,Pokémon,Roaring Skies,23,{L},0
Electrode,Pokémon,Roaring Skies,22,{L},0
Voltorb,Pokémon,Roaring Skies,21,{L},0
Pikachu,Pokémon,Roaring Skies,20,{L},0
Pelipper,Pokémon,Roaring Skies,19,{W},0
Wingull,Pokémon,Roaring Skies,18,{W},0
Articuno,Pokémon,Roaring Skies,17,{W},0
Articuno,Pokémon,Roaring Skies,16,{W},0
Swinub,Pokémon,BREAKthrough,80,{F},0
Marowak BREAK,Pokémon,BREAKthrough,79,{F},0
Marowak,Pokémon,BREAKthrough,78,{F},0
Cubone,Pokémon,BREAKthrough,77,{F},0
Sandslash,Pokémon,BREAKthrough,76,{F},0
Sandshrew,Pokémon,BREAKthrough,75,{F},0
Beheeyem,Pokémon,BREAKthrough,74,{P},0
Elgyem,Pokémon,BREAKthrough,73,{P},0
Swoobat,Pokémon,BREAKthrough,72,{P},0
Woobat,Pokémon,BREAKthrough,71,{P},0
Cresselia,Pokémon,BREAKthrough,70,{P},0
Kirlia,Pokémon,BREAKthrough,69,{P},0
Ralts,Pokémon,BREAKthrough,68,{P},0
Wobbuffet,Pokémon,BREAKthrough,67,{P},0
Mismagius,Pokémon,BREAKthrough,66,{P},0
Misdreavus,Pokémon,BREAKthrough,65,{P},0
M Mewtwo-EX,Pokémon,BREAKthrough,64,{P},0
M Mewtwo-EX,Pokémon,BREAKthrough,63,{P},0
Mewtwo-EX,Pokémon,BREAKthrough,62,{P},0
Mewtwo-EX,Pokémon,BREAKthrough,61,{P},0
Gengar,Pokémon,BREAKthrough,60,{P},0
Haunter,Pokémon,BREAKthrough,59,{P},0
Gastly,Pokémon,BREAKthrough,58,{P},0
Dedenne,Pokémon,BREAKthrough,57,{L},0
Stunfisk,Pokémon,BREAKthrough,56,{L},0
Raikou,Pokémon,BREAKthrough,55,{L},0
Magnezone,Pokémon,BREAKthrough,54,{L},0
Magneton,Pokémon,BREAKthrough,53,{L},0
Magnemite,Pokémon,BREAKthrough,52,{L},0
Magnemite,Pokémon,BREAKthrough,51,{L},0
Raichu BREAK,Pokémon,BREAKthrough,50,{L},0
Raichu,Pokémon,BREAKthrough,49,{L},0
Pikachu,Pokémon,BREAKthrough,48,{L},0
Frogadier,Pokémon,BREAKthrough,47,{W},0
Froakie,Pokémon,BREAKthrough,46,{W},0
Vanilluxe,Pokémon,BREAKthrough,45,{W},0
Vanillish,Pokémon,BREAKthrough,44,{W},0
Vanillite,Pokémon,BREAKthrough,43,{W},0
Simipour,Pokémon,BREAKthrough,42,{W},0
Panpour,Pokémon,BREAKthrough,41,{W},0
Abomasnow,Pokémon,BREAKthrough,40,{W},0
Snover,Pokémon,BREAKthrough,39,{W},0
Empoleon,Pokémon,BREAKthrough,38,{W},0
Prinplup,Pokémon,BREAKthrough,37,{W},0
Piplup,Pokémon,BREAKthrough,36,{W},0
M Glalie-EX,Pokémon,BREAKthrough,35,{W},0
Glalie-EX,Pokémon,BREAKthrough,34,{W},0
Octillery,Pokémon,BREAKthrough,33,{W},0
Remoraid,Pokémon,BREAKthrough,32,{W},0
Remoraid,Pokémon,BREAKthrough,31,{W},0
Starmie,Pokémon,BREAKthrough,30,{W},0
Staryu,Pokémon,BREAKthrough,29,{W},0
Seaking,Pokémon,BREAKthrough,28,{W},0
Goldeen,Pokémon,BREAKthrough,27,{W},0
Braixen,Pokémon,BREAKthrough,26,{R},0
Fennekin,Pokémon,BREAKthrough,25,{R},0
Simisear,Pokémon,BREAKthrough,24,{R},0
Pansear,Pokémon,BREAKthrough,23,{R},0
M Houndoom-EX,Pokémon,BREAKthrough,22,{R},0
Houndoom-EX,Pokémon,BREAKthrough,21,{R},0
Talonflame,Pokémon,Roaring Skies,15,{R},0
Fletchinder,Pokémon,Roaring Skies,14,{R},0
Victini,Pokémon,Roaring Skies,13,{R},0
Tropius,Pokémon,Roaring Skies,12,{G},0
Shedinja,Pokémon,Roaring Skies,11,{G},0
Ninjask,Pokémon,Roaring Skies,10,{G},0
Nincada,Pokémon,Roaring Skies,9,{G},0
Dustox,Pokémon,Roaring Skies,8,{G},0
Dustox,Pokémon,Roaring Skies,7,{G},0
Cascoon,Pokémon,Roaring Skies,6,{G},0
Beautifly,Pokémon,Roaring Skies,5,{G},0
Silcoon,Pokémon,Roaring Skies,4,{G},0
Wurmple,Pokémon,Roaring Skies,3,{G},0
Exeggutor,Pokémon,Roaring Skies,2,{G},0
Exeggcute,Pokémon,Roaring Skies,1,{G},0
Latios,Pokémon,XY Trainer Kit—Latios,30,{P},0
Latias,Pokémon,XY Trainer Kit—Latias,30,{P},0
Acro Bike,Trainer,XY Trainer Kit—Latias,29,0,Item
Psychic Energy,Energy,XY Trainer Kit—Latios,29,0,Item
Psychic Energy,Energy,XY Trainer Kit—Latias,28,0,Item
Machop,Pokémon,XY Trainer Kit—Latios,28,{F},0
Grovyle,Pokémon,XY Trainer Kit—Latias,27,{G},0
Skitty,Pokémon,XY Trainer Kit—Latios,27,{C},0
Tangela,Pokémon,XY Trainer Kit—Latias,26,{G},0
Solrock,Pokémon,XY Trainer Kit—Latios,26,{F},0
Rhydon,Pokémon,XY Trainer Kit—Latios,25,{F},0
Tangrowth,Pokémon,XY Trainer Kit—Latias,25,{G},0
Delcatty,Pokémon,XY Trainer Kit—Latios,24,{C},0
Treecko,Pokémon,XY Trainer Kit—Latias,24,{G},0
Rhyhorn,Pokémon,XY Trainer Kit—Latios,23,{F},0
Lotad,Pokémon,XY Trainer Kit—Latias,23,{G},0
Machoke,Pokémon,XY Trainer Kit—Latios,22,{F},0
Psychic Energy,Energy,XY Trainer Kit—Latias,22,{F},0
Potion,Trainer,XY Trainer Kit—Latios,21,0,Item
Lombre,Pokémon,XY Trainer Kit—Latias,21,{G},0
Acro Bike,Trainer,XY Trainer Kit—Latias,20,0,Item
Acro Bike,Trainer,XY Trainer Kit—Latios,20,0,Item
Grass Energy,Energy,XY Trainer Kit—Latias,19,0,Item
Delcatty,Pokémon,XY Trainer Kit—Latios,19,{C},0
Grovyle,Pokémon,XY Trainer Kit—Latias,18,{G},0
Psychic Energy,Energy,XY Trainer Kit—Latios,18,{G},0
Psychic Energy,Energy,XY Trainer Kit—Latias,17,{G},0
Fighting Energy,Energy,XY Trainer Kit—Latios,17,{G},0
Surskit,Pokémon,XY Trainer Kit—Latias,16,{G},0
Psychic Energy,Energy,XY Trainer Kit—Latios,16,{G},0
Potion,Trainer,XY Trainer Kit—Latias,15,0,Item
Rhyhorn,Pokémon,XY Trainer Kit—Latios,15,{F},0
Machoke,Pokémon,XY Trainer Kit—Latios,14,{F},0
Latias,Pokémon,XY Trainer Kit—Latias,14,{P},0
Latios,Pokémon,XY Trainer Kit—Latios,13,{P},0
Tangela,Pokémon,XY Trainer Kit—Latias,13,{G},0
Solrock,Pokémon,XY Trainer Kit—Latios,12,{F},0
Tangrowth,Pokémon,XY Trainer Kit—Latias,12,{G},0
Machop,Pokémon,XY Trainer Kit—Latios,11,{F},0
Lotad,Pokémon,XY Trainer Kit—Latias,11,{G},0
Fighting Energy,Energy,XY Trainer Kit—Latios,10,{G},0
Psychic Energy,Energy,XY Trainer Kit—Latias,10,{G},0
Fighting Energy,Energy,XY Trainer Kit—Latios,9,{G},0
Psychic Energy,Energy,XY Trainer Kit—Latias,9,{G},0
Psychic Energy,Energy,XY Trainer Kit—Latias,8,{G},0
Typhlosion,Pokémon,BREAKthrough,20,{R},0
Quilava,Pokémon,BREAKthrough,19,{R},0
Cyndaquil,Pokémon,BREAKthrough,18,{R},0
Gogoat,Pokémon,BREAKthrough,17,{G},0
Skiddo,Pokémon,BREAKthrough,16,{G},0
Vivillon,Pokémon,BREAKthrough,15,{G},0
Spewpa,Pokémon,BREAKthrough,14,{G},0
Scatterbug,Pokémon,BREAKthrough,13,{G},0
Chesnaught BREAK,Pokémon,BREAKthrough,12,{G},0
Chesnaught,Pokémon,BREAKthrough,11,{G},0
Quilladin,Pokémon,BREAKthrough,10,{G},0
Chespin,Pokémon,BREAKthrough,9,{G},0
Chespin,Pokémon,BREAKthrough,8,{G},0
Chespin,Pokémon,BREAKthrough,7,{G},0
Simisage,Pokémon,BREAKthrough,6,{G},0
Pansage,Pokémon,BREAKthrough,5,{G},0
Cacnea,Pokémon,BREAKthrough,4,{G},0
Pinsir,Pokémon,BREAKthrough,3,{G},0
Parasect,Pokémon,BREAKthrough,2,{G},0
Paras,Pokémon,BREAKthrough,1,{G},0
Rayquaza-EX,Pokémon,XY Promos,74,{N},0
Latios-EX,Pokémon,XY Promos,73,{N},0
Hoopa-EX,Pokémon,XY Promos,72,{P},0
Tyrantrum-EX,Pokémon,XY Promos,71,{N},0
Champions Festival,Trainer,XY Promos,92,0,Stadium
Rayquaza-EX,Pokémon,XY Promos,70,{C},0
Rayquaza-EX,Pokémon,XY Promos,66,{C},0
Latios,Pokémon,XY Promos,65,{P},0
Rayquaza,Pokémon,XY Promos,64,{N},0
M Absol-EX,Pokémon,XY Promos,63,{D},0
Absol-EX,Pokémon,XY Promos,62,{D},0
Flygon-EX,Pokémon,XY Promos,61,{N},0
Gyarados,Pokémon,XY Promos,60,{W},0
Salamence,Pokémon,XY Promos,59,{N},0
Malamar,Pokémon,XY Promos,58,{D},0
Fearow,Pokémon,XY Promos,57,{C},0
Blissey,Pokémon,XY Promos,56,{C},0
Blaziken-EX,Pokémon,XY Promos,54,{R},0
Sceptile-EX,Pokémon,XY Promos,53,{G},0
Trainers’ Mail,Trainer,Ancient Origins,101,0,Item
Energy Retrieval,Trainer,Ancient Origins,100,0,Item
M Rayquaza-EX,Pokémon,Ancient Origins,99,{C},0
Primal Groudon-EX,Pokémon,Ancient Origins,98,{F},0
Primal Kyogre-EX,Pokémon,Ancient Origins,97,{W},0
Steven,Trainer,Ancient Origins,96,0,Supporter
Lugia-EX,Pokémon,Ancient Origins,95,{C},0
Giratina-EX,Pokémon,Ancient Origins,94,{N},0
M Tyranitar-EX,Pokémon,Ancient Origins,93,{D},0
Tyranitar-EX,Pokémon,Ancient Origins,92,{D},0
Machamp-EX,Pokémon,Ancient Origins,91,{F},0
Hoopa-EX,Pokémon,Ancient Origins,90,{P},0
M Ampharos-EX,Pokémon,Ancient Origins,89,{L},0
Ampharos-EX,Pokémon,Ancient Origins,88,{L},0
Kyurem-EX,Pokémon,Ancient Origins,87,{W},0
M Sceptile-EX,Pokémon,Ancient Origins,86,{G},0
Sceptile-EX,Pokémon,Ancient Origins,85,{G},0
Flash Energy,Energy,Ancient Origins,84,{G},0
Dangerous Energy,Energy,Ancient Origins,83,{G},0
Tyranitar Spirit Link,Trainer,Ancient Origins,82,0,Pokémon Tool
Sceptile Spirit Link,Trainer,Ancient Origins,81,0,Pokémon Tool
Ditto,Pokémon,XY Promos,40,{C},0
Whiscash,Pokémon,Primal Clash,40,{W},0
Kingdra,Pokémon,XY Promos,39,{N},0
Barboach,Pokémon,Primal Clash,39,{W},0
Wailord-EX,Pokémon,Primal Clash,38,{W},0
Ludicolo,Pokémon,Primal Clash,37,{W},0
Swampert,Pokémon,Primal Clash,36,{W},0
Swampert,Pokémon,Primal Clash,35,{W},0
Marshtomp,Pokémon,Primal Clash,34,{W},0
Mudkip,Pokémon,Primal Clash,33,{W},0
Staryu,Pokémon,Primal Clash,32,{W},0
Seadra,Pokémon,Primal Clash,31,{W},0
Horsea,Pokémon,Primal Clash,30,{W},0
Camerupt-EX,Pokémon,Primal Clash,29,{R},0
Blaziken,Pokémon,Primal Clash,28,{R},0
Combusken,Pokémon,Primal Clash,27,{R},0
Torchic,Pokémon,Primal Clash,26,{R},0
Torchic,Pokémon,Primal Clash,25,{R},0
Magcargo,Pokémon,Primal Clash,24,{R},0
Magcargo,Pokémon,Primal Clash,23,{R},0
Slugma,Pokémon,Primal Clash,22,{R},0
Ninetales,Pokémon,Primal Clash,21,{R},0
Vulpix,Pokémon,Primal Clash,20,{R},0
Trevenant-EX,Pokémon,Primal Clash,19,{G},0
Illumise,Pokémon,Primal Clash,18,{G},0
Volbeat,Pokémon,Primal Clash,17,{G},0
Breloom,Pokémon,Primal Clash,16,{G},0
Shroomish,Pokémon,Primal Clash,15,{G},0
Masquerain,Pokémon,Primal Clash,14,{G},0
Surskit,Pokémon,Primal Clash,13,{G},0
Ludicolo,Pokémon,Primal Clash,12,{G},0
Lombre,Pokémon,Primal Clash,11,{G},0
Lotad,Pokémon,Primal Clash,10,{G},0
Sceptile,Pokémon,Primal Clash,9,{G},0
Sceptile,Pokémon,Primal Clash,8,{G},0
Grovyle,Pokémon,Primal Clash,7,{G},0
Treecko,Pokémon,Primal Clash,6,{G},0
Tangrowth,Pokémon,Primal Clash,5,{G},0
Tangela,Pokémon,Primal Clash,4,{G},0
Beedrill,Pokémon,Primal Clash,3,{G},0
Kakuna,Pokémon,Primal Clash,2,{G},0
Weedle,Pokémon,Primal Clash,1,{G},0
Mudkip,Pokémon,XY Promos,38,{W},0
Torchic,Pokémon,XY Promos,37,{R},0
Treecko,Pokémon,XY Promos,36,{G},0
M Metagross-EX,Pokémon,XY Promos,35,{M},0
Metagross-EX,Pokémon,XY Promos,34,{M},0
Dialga-EX,Pokémon,Phantom Forces,124,{M},0
M Gengar-EX,Pokémon,Phantom Forces,123,{P},0
M Manectric-EX,Pokémon,Phantom Forces,122,{L},0
Xerosic,Trainer,Phantom Forces,121,0,Supporter
Lysandre’s Trump Card,Trainer,Phantom Forces,120,0,Supporter
AZ,Trainer,Phantom Forces,119,0,Supporter
Florges-EX,Pokémon,Phantom Forces,118,{Y},0
Malamar-EX,Pokémon,Phantom Forces,117,{D},0
Gengar-EX,Pokémon,Phantom Forces,116,{P},0
Manectric-EX,Pokémon,Phantom Forces,115,{L},0
Mystery Energy,Energy,Phantom Forces,114,{L},0
Double Colorless Energy,Energy,Phantom Forces,113,{L},0
Xerosic,Trainer,Phantom Forces,112,0,Supporter
Paint Roller,Trainer,Ancient Origins,80,0,Item
Lysandre,Trainer,Ancient Origins,79,0,Supporter
Lucky Helmet,Trainer,Ancient Origins,78,0,Pokémon Tool
Level Ball,Trainer,Ancient Origins,77,0,Item
Hex Maniac,Trainer,Ancient Origins,75,0,Supporter
Forest of Giant Plants,Trainer,Ancient Origins,74,0,Stadium
Faded Town,Trainer,Ancient Origins,73,0,Stadium
Energy Recycler,Trainer,Ancient Origins,72,0,Item
Eco Arm,Trainer,Ancient Origins,71,0,Item
Ampharos Spirit Link,Trainer,Ancient Origins,70,0,Pokémon Tool
Ace Trainer,Trainer,Ancient Origins,69,0,Supporter
Lugia-EX,Pokémon,Ancient Origins,68,{C},0
Porygon-Z,Pokémon,Ancient Origins,67,{C},0
Porygon-Z,Pokémon,Ancient Origins,66,{C},0
Porygon2,Pokémon,Ancient Origins,65,{C},0
Porygon,Pokémon,Ancient Origins,64,{C},0
Eevee,Pokémon,Ancient Origins,63,{C},0
Persian,Pokémon,Ancient Origins,62,{C},0
Meowth,Pokémon,Ancient Origins,61,{C},0
Goodra,Pokémon,Ancient Origins,60,{N},0
Sliggoo,Pokémon,Ancient Origins,59,{N},0
Goomy,Pokémon,Ancient Origins,58,{N},0
Giratina-EX,Pokémon,Ancient Origins,57,{N},0
Whimsicott,Pokémon,Ancient Origins,56,{Y},0
Cottonee,Pokémon,Ancient Origins,55,{Y},0
Gardevoir,Pokémon,Ancient Origins,54,{Y},0
Kirlia,Pokémon,Ancient Origins,53,{Y},0
Ralts,Pokémon,Ancient Origins,52,{Y},0
Registeel,Pokémon,Ancient Origins,51,{M},0
Metagross,Pokémon,Ancient Origins,50,{M},0
Metagross,Pokémon,Ancient Origins,49,{M},0
Metang,Pokémon,Ancient Origins,48,{M},0
Beldum,Pokémon,Ancient Origins,47,{M},0
Malamar,Pokémon,Ancient Origins,46,{D},0
Inkay,Pokémon,Ancient Origins,45,{D},0
Sableye,Pokémon,Ancient Origins,44,{D},0
M Tyranitar-EX,Pokémon,Ancient Origins,43,{D},0
Tyranitar-EX,Pokémon,Ancient Origins,42,{D},0
Golurk,Pokémon,Ancient Origins,41,{F},0
Regirock,Pokémon,Ancient Origins,40,{F},0
Quagsire,Pokémon,Ancient Origins,39,{F},0
Wooper,Pokémon,Ancient Origins,38,{F},0
Machamp-EX,Pokémon,Ancient Origins,37,{F},0
Hoopa-EX,Pokémon,Ancient Origins,36,{P},0
Golurk,Pokémon,Ancient Origins,35,{P},0
Golett,Pokémon,Ancient Origins,34,{P},0
Claydol,Pokémon,Ancient Origins,33,{P},0
Baltoy,Pokémon,Ancient Origins,32,{P},0
Baltoy,Pokémon,Ancient Origins,31,{P},0
Unown,Pokémon,Ancient Origins,30,{P},0
Rotom,Pokémon,Ancient Origins,29,{L},0
M Ampharos-EX,Pokémon,Ancient Origins,28,{L},0
Ampharos-EX,Pokémon,Ancient Origins,27,{L},0
Jolteon,Pokémon,Ancient Origins,26,{L},0
Kyurem-EX,Pokémon,Ancient Origins,25,{W},0
Regice,Pokémon,Ancient Origins,24,{W},0
Relicanth,Pokémon,Ancient Origins,23,{W},0
Vaporeon,Pokémon,Ancient Origins,22,{W},0
Gyarados,Pokémon,Ancient Origins,21,{W},0
Gyarados,Pokémon,Ancient Origins,20,{W},0
Magikarp,Pokémon,Ancient Origins,19,{W},0
Volcarona,Pokémon,Ancient Origins,18,{R},0
Volcarona,Pokémon,Ancient Origins,17,{R},0
Larvesta,Pokémon,Ancient Origins,16,{R},0
Entei,Pokémon,Ancient Origins,15,{R},0
Entei,Pokémon,Ancient Origins,14,{R},0
Flareon,Pokémon,Ancient Origins,13,{R},0
Virizion,Pokémon,Ancient Origins,12,{G},0
Vespiquen,Pokémon,Ancient Origins,11,{G},0
Vespiquen,Pokémon,Ancient Origins,10,{G},0
Combee,Pokémon,Ancient Origins,9,{G},0
M Sceptile-EX,Pokémon,Ancient Origins,8,{G},0
Sceptile-EX,Pokémon,Ancient Origins,7,{G},0
Ariados,Pokémon,Ancient Origins,6,{G},0
Spinarak,Pokémon,Ancient Origins,5,{G},0
Bellossom,Pokémon,Ancient Origins,4,{G},0
Vileplume,Pokémon,Ancient Origins,3,{G},0
Gloom,Pokémon,Ancient Origins,2,{G},0
Oddish,Pokémon,Ancient Origins,1,{G},0
Swampert-EX,Pokémon,XY Promos,55,{W},0
VS Seeker,Trainer,Roaring Skies,112,0,Item
Energy Switch,Trainer,Roaring Skies,111,0,Item
Winona,Trainer,Roaring Skies,110,0,Supporter
Wally,Trainer,Roaring Skies,109,0,Supporter
Shaymin-EX,Pokémon,Roaring Skies,108,{C},0
M Rayquaza-EX,Pokémon,Roaring Skies,107,{C},0
Rayquaza-EX,Pokémon,Roaring Skies,106,{C},0
Hydreigon-EX,Pokémon,Roaring Skies,105,{N},0
M Latios-EX,Pokémon,Roaring Skies,104,{N},0
Latios-EX,Pokémon,Roaring Skies,103,{N},0
M Gallade-EX,Pokémon,Roaring Skies,102,{P},0
Gallade-EX,Pokémon,Roaring Skies,101,{P},0
Thundurus-EX,Pokémon,Roaring Skies,100,{L},0
Double Dragon Energy,Energy,Roaring Skies,99,{L},0
Winona,Trainer,Roaring Skies,98,0,Supporter
Wide Lens,Trainer,Roaring Skies,97,0,Pokémon Tool
Wally,Trainer,Roaring Skies,96,0,Supporter
Ultra Ball,Trainer,Roaring Skies,95,0,Item
Trainers’ Mail,Trainer,Roaring Skies,93,0,Item
Switch,Trainer,Roaring Skies,92,0,Item
Steven,Trainer,Roaring Skies,91,0,Supporter
Sky Field,Trainer,Roaring Skies,90,0,Stadium
Revive,Trainer,Roaring Skies,89,0,Item
Rayquaza Spirit Link,Trainer,Roaring Skies,88,0,Pokémon Tool
Mega Turbo,Trainer,Roaring Skies,87,0,Item
Latios Spirit Link,Trainer,Roaring Skies,86,0,Pokémon Tool
Healing Scarf,Trainer,Roaring Skies,85,0,Pokémon Tool
Gallade Spirit Link,Trainer,Roaring Skies,84,0,Pokémon Tool
Fletchling,Pokémon,Roaring Skies,83,{C},0
Unfezant,Pokémon,Roaring Skies,82,{C},0
Unfezant,Pokémon,Roaring Skies,81,{C},0
Tranquill,Pokémon,Roaring Skies,80,{C},0
Pidove,Pokémon,Roaring Skies,79,{C},0
Shaymin-EX,Pokémon,Roaring Skies,77,{C},0
M Rayquaza-EX,Pokémon,Roaring Skies,76,{C},0
Rayquaza-EX,Pokémon,Roaring Skies,75,{C},0
Altaria,Pokémon,Roaring Skies,74,{C},0
Swablu,Pokémon,Roaring Skies,73,{C},0
Swellow,Pokémon,Roaring Skies,72,{C},0
Swellow,Pokémon,Roaring Skies,71,{C},0
VS Seeker,Trainer,Phantom Forces,111,0,Item
Trick Coin,Trainer,Phantom Forces,110,0,Pokémon Tool
Tierno,Trainer,Phantom Forces,109,0,Supporter
Target Whistle Team Flare Gear,Trainer,Phantom Forces,108,0,Item
Steel Shelter,Trainer,Phantom Forces,107,0,Stadium
Shauna,Trainer,Phantom Forces,106,0,Supporter
Roller Skates,Trainer,Phantom Forces,105,0,Item
Robo Substitute Team Flare Gear,Trainer,Phantom Forces,104,0,Item
Professor Sycamore,Trainer,Phantom Forces,103,0,Supporter
Manectric Spirit Link,Trainer,Phantom Forces,102,0,Pokémon Tool
Lysandre’s Trump Card,Trainer,Phantom Forces,101,0,Supporter
Jamming Net Team Flare Hyper Gear,Trainer,Phantom Forces,100,0,Pokémon Tool
Head Ringer Team Flare Hyper Gear,Trainer,Phantom Forces,99,0,Pokémon Tool
Hand Scope,Trainer,Phantom Forces,98,0,Item
