Name,Type,Set,SetNo,Color,SubType
Slurpuff,Pokmon,Twilight Masquerade,90,{P},0
Swirlix,Pokmon,Twilight Masquerade,89,{P},0
Florges,Pokmon,Twilight Masquerade,88,{P},0
Floette,Pokmon,Twilight Masquerade,87,{P},0
Flabb,Pokmon,Twilight Masquerade,86,{P},0
Chimecho,Pokmon,Twilight Masquerade,85,{P},0
Farigiraf,Pokmon,Twilight Masquerade,84,{P},0
Girafarig,Pokmon,Twilight Masquerade,83,{P},0
Alakazam,Pokmon,Twilight Masquerade,82,{P},0
Kadabra,Pokmon,Twilight Masquerade,81,{P},0
Abra,Pokmon,Twilight Masquerade,80,{P},0
Clefable,Pokmon,Twilight Masquerade,79,{P},0
Clefairy,Pokmon,Twilight Masquerade,78,{P},0
Iron Thorns ex,Pokmon,Twilight Masquerade,77,{L},0
Kilowattrel,Pokmon,Twilight Masquerade,76,{L},0
Wattrel,Pokmon,Twilight Masquerade,75,{L},0
Bellibolt,Pokmon,Twilight Masquerade,74,{L},0
Tadbulb,Pokmon,Twilight Masquerade,73,{L},0
Morpeko,Pokmon,Twilight Masquerade,72,{L},0
Heliolisk,Pokmon,Twilight Masquerade,71,{L},0
Helioptile,Pokmon,Twilight Masquerade,70,{L},0
Emolga,Pokmon,Twilight Masquerade,69,{L},0
Luxray ex,Pokmon,Twilight Masquerade,68,{L},0
Luxio,Pokmon,Twilight Masquerade,67,{L},0
Shinx,Pokmon,Twilight Masquerade,66,{L},0
Zapdos,Pokmon,Twilight Masquerade,65,{L},0
Wellspring Mask Ogerpon ex,Pokmon,Twilight Masquerade,64,{W},0
Walking Wake,Pokmon,Twilight Masquerade,63,{W},0
Iron Bundle,Pokmon,Twilight Masquerade,62,{W},0
Palafin ex,Pokmon,Twilight Masquerade,61,{W},0
Palafin,Pokmon,Twilight Masquerade,60,{W},0
Finizen,Pokmon,Twilight Masquerade,59,{W},0
Cramorant,Pokmon,Twilight Masquerade,58,{W},0
Frogadier,Pokmon,Twilight Masquerade,57,{W},0
Froakie,Pokmon,Twilight Masquerade,56,{W},0
Phione,Pokmon,Twilight Masquerade,55,{W},0
Glaceon,Pokmon,Twilight Masquerade,54,{W},0
Froslass,Pokmon,Twilight Masquerade,53,{W},0
Glalie,Pokmon,Twilight Masquerade,52,{W},0
Snorunt,Pokmon,Twilight Masquerade,51,{W},0
Milotic,Pokmon,Twilight Masquerade,50,{W},0
Feebas,Pokmon,Twilight Masquerade,49,{W},0
Crawdaunt,Pokmon,Twilight Masquerade,48,{W},0
Corphish,Pokmon,Twilight Masquerade,47,{W},0
Jynx,Pokmon,Twilight Masquerade,46,{W},0
Seaking,Pokmon,Twilight Masquerade,45,{W},0
Goldeen,Pokmon,Twilight Masquerade,44,{W},0
Poliwrath,Pokmon,Twilight Masquerade,43,{W},0
Poliwhirl,Pokmon,Twilight Masquerade,42,{W},0
Poliwag,Pokmon,Twilight Masquerade,41,{W},0
Hearthflame Mask Ogerpon ex,Pokmon,Twilight Masquerade,40,{R},0
Chi-Yu,Pokmon,Twilight Masquerade,39,{R},0
Chandelure,Pokmon,Twilight Masquerade,38,{R},0
Lampent,Pokmon,Twilight Masquerade,37,{R},0
Litwick,Pokmon,Twilight Masquerade,36,{R},0
Darmanitan,Pokmon,Twilight Masquerade,35,{R},0
Darumaka,Pokmon,Twilight Masquerade,34,{R},0
Infernape,Pokmon,Twilight Masquerade,33,{R},0
Monferno,Pokmon,Twilight Masquerade,32,{R},0
Chimchar,Pokmon,Twilight Masquerade,31,{R},0
Torkoal,Pokmon,Twilight Masquerade,30,{R},0
Magcargo ex,Pokmon,Twilight Masquerade,29,{R},0
Slugma,Pokmon,Twilight Masquerade,28,{R},0
Ninetales,Pokmon,Twilight Masquerade,27,{R},0
Vulpix,Pokmon,Twilight Masquerade,26,{R},0
Teal Mask Ogerpon ex,Pokmon,Twilight Masquerade,25,{G},0
Teal Mask Ogerpon,Pokmon,Twilight Masquerade,24,{G},0
Sinistcha ex,Pokmon,Twilight Masquerade,23,{G},0
Sinistcha,Pokmon,Twilight Masquerade,22,{G},0
Poltchageist,Pokmon,Twilight Masquerade,21,{G},0
Poltchageist,Pokmon,Twilight Masquerade,20,{G},0
Iron Leaves,Pokmon,Twilight Masquerade,19,{G},0
Dipplin,Pokmon,Twilight Masquerade,18,{G},0
Applin,Pokmon,Twilight Masquerade,17,{G},0
Rillaboom,Pokmon,Twilight Masquerade,16,{G},0
Thwackey,Pokmon,Twilight Masquerade,15,{G},0
Grookey,Pokmon,Twilight Masquerade,14,{G},0
Trevenant,Pokmon,Twilight Masquerade,13,{G},0
Phantump,Pokmon,Twilight Masquerade,12,{G},0
Leafeon,Pokmon,Twilight Masquerade,11,{G},0
Illumise,Pokmon,Twilight Masquerade,10,{G},0
Volbeat,Pokmon,Twilight Masquerade,9,{G},0
Heracross,Pokmon,Twilight Masquerade,8,{G},0
Sunflora,Pokmon,Twilight Masquerade,7,{G},0
Sunkern,Pokmon,Twilight Masquerade,6,{G},0
Ariados,Pokmon,Twilight Masquerade,5,{G},0
Spinarak,Pokmon,Twilight Masquerade,4,{G},0
Pinsir,Pokmon,Twilight Masquerade,3,{G},0
Tangrowth,Pokmon,Twilight Masquerade,2,{G},0
Tangela,Pokmon,Twilight Masquerade,1,{G},0
Armarouge ex,Pokmon,Scarlet & Violet Promos,125,{R},0
Iono,Trainer,Scarlet & Violet Promos,124,0,Supporter
Melmetal ex,Pokmon,Scarlet & Violet Promos,104,{M},0
Houndoom ex,Pokmon,Scarlet & Violet Promos,103,{D},0
Grafaiai ex,Pokmon,Scarlet & Violet Promos,100,{C},0
Shroodle,Pokmon,Scarlet & Violet Promos,99,{C},0
Raging Bolt ex,Pokmon,Temporal Forces,218,{N},0
Iron Boulder ex,Pokmon,Temporal Forces,217,{F},0
Iron Crown ex,Pokmon,Temporal Forces,216,{P},0
Walking Wake ex,Pokmon,Temporal Forces,215,{W},0
Gouging Fire ex,Pokmon,Temporal Forces,214,{R},0
Iron Leaves ex,Pokmon,Temporal Forces,213,{G},0
Salvatore,Trainer,Temporal Forces,212,0,Supporter
Mortys Conviction,Trainer,Temporal Forces,211,0,Supporter
Eri,Trainer,Temporal Forces,210,0,Supporter
Biancas Devotion,Trainer,Temporal Forces,209,0,Supporter
Raging Bolt ex,Pokmon,Temporal Forces,208,{N},0
Iron Boulder ex,Pokmon,Temporal Forces,207,{F},0
Iron Crown ex,Pokmon,Temporal Forces,206,{P},0
Walking Wake ex,Pokmon,Temporal Forces,205,{W},0
Gouging Fire ex,Pokmon,Temporal Forces,204,{R},0
Iron Leaves ex,Pokmon,Temporal Forces,203,{G},0
Salvatore,Trainer,Temporal Forces,202,0,Supporter
Mortys Conviction,Trainer,Temporal Forces,201,0,Supporter
Explorers Guidance,Trainer,Temporal Forces,200,0,Supporter
Eri,Trainer,Temporal Forces,199,0,Supporter
Ciphermaniacs Codebreaking,Trainer,Temporal Forces,198,0,Supporter
Biancas Devotion,Trainer,Temporal Forces,197,0,Supporter
Raging Bolt ex,Pokmon,Temporal Forces,196,{N},0
Scizor ex,Pokmon,Temporal Forces,195,{M},0
Farigiraf ex,Pokmon,Temporal Forces,194,{D},0
Gengar ex,Pokmon,Temporal Forces,193,{D},0
Iron Boulder ex,Pokmon,Temporal Forces,192,{F},0
Iron Crown ex,Pokmon,Temporal Forces,191,{P},0
Wugtrio ex,Pokmon,Temporal Forces,190,{L},0
Walking Wake ex,Pokmon,Temporal Forces,189,{W},0
Gouging Fire ex,Pokmon,Temporal Forces,188,{R},0
Incineroar ex,Pokmon,Temporal Forces,187,{R},0
Iron Leaves ex,Pokmon,Temporal Forces,186,{G},0
Torterra ex,Pokmon,Temporal Forces,185,{G},0
Drampa,Pokmon,Temporal Forces,184,{C},0
Cinccino,Pokmon,Temporal Forces,183,{C},0
Minccino,Pokmon,Temporal Forces,182,{C},0
Chatot,Pokmon,Temporal Forces,181,{C},0
Lickitung,Pokmon,Temporal Forces,180,{C},0
Meltan,Pokmon,Temporal Forces,179,{M},0
Metagross,Pokmon,Temporal Forces,178,{M},0
Gastly,Pokmon,Temporal Forces,177,{D},0
Arbok,Pokmon,Temporal Forces,176,{D},0
Mudsdale,Pokmon,Temporal Forces,175,{F},0
Excadrill,Pokmon,Temporal Forces,174,{F},0
Relicanth,Pokmon,Temporal Forces,173,{F},0
Cutiefly,Pokmon,Temporal Forces,172,{P},0
Reuniclus,Pokmon,Temporal Forces,171,{P},0
Bronzor,Pokmon,Temporal Forces,170,{P},0
Charjabug,Pokmon,Temporal Forces,169,{L},0
Snom,Pokmon,Temporal Forces,168,{W},0
Litten,Pokmon,Temporal Forces,167,{R},0
Sawsbuck,Pokmon,Temporal Forces,166,{G},0
Deerling,Pokmon,Temporal Forces,165,{G},0
Grotle,Pokmon,Temporal Forces,164,{G},0
Shiftry,Pokmon,Temporal Forces,163,{G},0
Neo Upper Energy,Energy,Temporal Forces,162,{G},0
Mist Energy,Energy,Temporal Forces,161,{G},0
Salvatore,Trainer,Temporal Forces,160,0,Supporter
Rescue Board,Trainer,Temporal Forces,159,0,Pokmon Tool
Reboot Pod,Trainer,Temporal Forces,158,0,Item
Prime Catcher,Trainer,Temporal Forces,157,0,Item
Perilous Jungle,Trainer,Temporal Forces,156,0,Stadium
Mortys Conviction,Trainer,Temporal Forces,155,0,Supporter
Maximum Belt,Trainer,Temporal Forces,154,0,Pokmon Tool
Master Ball,Trainer,Temporal Forces,153,0,Item
Heros Cape,Trainer,Temporal Forces,152,0,Pokmon Tool
Heavy Baton,Trainer,Temporal Forces,151,0,Pokmon Tool
Hand Trimmer,Trainer,Temporal Forces,150,0,Item
Future Booster Energy Capsule,Trainer,Temporal Forces,149,0,Pokmon Tool
Full Metal Lab,Trainer,Temporal Forces,148,0,Stadium
Explorers Guidance,Trainer,Temporal Forces,147,0,Supporter
Eri,Trainer,Temporal Forces,146,0,Supporter
Ciphermaniacs Codebreaking,Trainer,Temporal Forces,145,0,Supporter
Buddy-Buddy Poffin,Trainer,Temporal Forces,144,0,Item
Boxed Order,Trainer,Temporal Forces,143,0,Item
Biancas Devotion,Trainer,Temporal Forces,142,0,Supporter
Awakening Drum,Trainer,Temporal Forces,141,0,Item
Ancient Booster Energy Capsule,Trainer,Temporal Forces,140,0,Pokmon Tool
Iron Jugulis,Pokmon,Temporal Forces,139,{C},0
Drampa,Pokmon,Temporal Forces,138,{C},0
Cinccino,Pokmon,Temporal Forces,137,{C},0
Minccino,Pokmon,Temporal Forces,136,{C},0
Unfezant,Pokmon,Temporal Forces,135,{C},0
Tranquill,Pokmon,Temporal Forces,134,{C},0
Pidove,Pokmon,Temporal Forces,133,{C},0
Chatot,Pokmon,Temporal Forces,132,{C},0
Delcatty,Pokmon,Temporal Forces,131,{C},0
Skitty,Pokmon,Temporal Forces,130,{C},0
Dudunsparce,Pokmon,Temporal Forces,129,{C},0
Dunsparce,Pokmon,Temporal Forces,128,{C},0
Noctowl,Pokmon,Temporal Forces,127,{C},0
Hoothoot,Pokmon,Temporal Forces,126,{C},0
Lickilicky,Pokmon,Temporal Forces,125,{C},0
Lickitung,Pokmon,Temporal Forces,124,{C},0
Raging Bolt ex,Pokmon,Temporal Forces,123,{N},0
Miraidon ex,Pokmon,Temporal Forces,122,{N},0
Miraidon,Pokmon,Temporal Forces,121,{N},0
Koraidon ex,Pokmon,Temporal Forces,120,{N},0
Koraidon,Pokmon,Temporal Forces,119,{N},0
Iron Treads,Pokmon,Temporal Forces,118,{M},0
Melmetal,Pokmon,Temporal Forces,117,{M},0
