Name,Type,Set,Set No.,Color,Sub-Type
Iron Treads ex,Pokémon,Paldean Fates,66,{M},0
Revavroom,Pokémon,Paldean Fates,65,{M},0
Varoom,Pokémon,Paldean Fates,64,{M},0
Mabosstiff,Pokémon,Paldean Fates,63,{D},0
Maschiff,Pokémon,Paldean Fates,62,{D},0
Scrafty,Pokémon,Paldean Fates,61,{D},0
Scraggy,Pokémon,Paldean Fates,60,{D},0
Paldean Clodsire ex,Pokémon,Paldean Fates,59,{D},0
Paldean Wooper,Pokémon,Paldean Fates,58,{D},0
Gengar,Pokémon,Paldean Fates,57,{D},0
Haunter,Pokémon,Paldean Fates,56,{D},0
Gastly,Pokémon,Paldean Fates,55,{D},0
Charizard ex,Pokémon,Paldean Fates,54,{D},0
Great Tusk ex,Pokémon,Paldean Fates,53,{F},0
Grapploct,Pokémon,Paldean Fates,52,{F},0
Clobbopus,Pokémon,Paldean Fates,51,{F},0
Barboach,Pokémon,Paldean Fates,50,{F},0
Donphan,Pokémon,Paldean Fates,49,{F},0
Phanpy,Pokémon,Paldean Fates,48,{F},0
Annihilape,Pokémon,Paldean Fates,47,{F},0
Primeape,Pokémon,Paldean Fates,46,{F},0
Mankey,Pokémon,Paldean Fates,45,{F},0
Gimmighoul,Pokémon,Paldean Fates,44,{P},0
Houndstone,Pokémon,Paldean Fates,43,{P},0
Greavard,Pokémon,Paldean Fates,42,{P},0
Flittle,Pokémon,Paldean Fates,41,{P},0
Ceruledge,Pokémon,Paldean Fates,40,{P},0
Dachsbun,Pokémon,Paldean Fates,39,{P},0
Fidough,Pokémon,Paldean Fates,38,{P},0
Mimikyu,Pokémon,Paldean Fates,37,{P},0
Dedenne,Pokémon,Paldean Fates,36,{P},0
Whimsicott,Pokémon,Paldean Fates,35,{P},0
Cottonee,Pokémon,Paldean Fates,34,{P},0
Swoobat,Pokémon,Paldean Fates,33,{P},0
Woobat,Pokémon,Paldean Fates,32,{P},0
Mime Jr.,Pokémon,Paldean Fates,31,{P},0
Chimecho,Pokémon,Paldean Fates,30,{P},0
Gardevoir ex,Pokémon,Paldean Fates,29,{P},0
Kirlia,Pokémon,Paldean Fates,28,{P},0
Ralts,Pokémon,Paldean Fates,27,{P},0
Xatu,Pokémon,Paldean Fates,26,{P},0
Natu,Pokémon,Paldean Fates,25,{P},0
Exeggutor,Pokémon,Paldean Fates,24,{P},0
Exeggcute,Pokémon,Paldean Fates,23,{P},0
Kilowattrel,Pokémon,Paldean Fates,22,{L},0
Lanturn,Pokémon,Paldean Fates,21,{L},0
Chinchou,Pokémon,Paldean Fates,20,{L},0
Raichu,Pokémon,Paldean Fates,19,{L},0
Pikachu,Pokémon,Paldean Fates,18,{L},0
Frigibax,Pokémon,Paldean Fates,17,{W},0
Lapras,Pokémon,Paldean Fates,16,{W},0
Pikachu,Pokémon,Temporal Forces,51,{L},0
Walking Wake ex,Pokémon,Temporal Forces,50,{W},0
Palafin,Pokémon,Temporal Forces,49,{W},0
Finizen,Pokémon,Temporal Forces,48,{W},0
Wiglett,Pokémon,Temporal Forces,47,{W},0
Frosmoth,Pokémon,Temporal Forces,46,{W},0
Snom,Pokémon,Temporal Forces,45,{W},0
Keldeo,Pokémon,Temporal Forces,44,{W},0
Sharpedo,Pokémon,Temporal Forces,43,{W},0
Carvanha,Pokémon,Temporal Forces,42,{W},0
Feraligatr,Pokémon,Temporal Forces,41,{W},0
Croconaw,Pokémon,Temporal Forces,40,{W},0
Totodile,Pokémon,Temporal Forces,39,{W},0
Gouging Fire ex,Pokémon,Temporal Forces,38,{R},0
Centiskorch,Pokémon,Temporal Forces,37,{R},0
Sizzlipede,Pokémon,Temporal Forces,36,{R},0
Turtonator,Pokémon,Temporal Forces,35,{R},0
Incineroar ex,Pokémon,Temporal Forces,34,{R},0
Torracat,Pokémon,Temporal Forces,33,{R},0
Litten,Pokémon,Temporal Forces,32,{R},0
Heatmor,Pokémon,Temporal Forces,31,{R},0
Victini,Pokémon,Temporal Forces,30,{R},0
Magcargo,Pokémon,Temporal Forces,29,{R},0
Slugma,Pokémon,Temporal Forces,28,{R},0
Rapidash,Pokémon,Temporal Forces,27,{R},0
Ponyta,Pokémon,Temporal Forces,26,{R},0
Iron Leaves ex,Pokémon,Temporal Forces,25,{G},0
Rabsca,Pokémon,Temporal Forces,24,{G},0
Rellor,Pokémon,Temporal Forces,23,{G},0
Scovillain ex,Pokémon,Temporal Forces,22,{G},0
Brambleghast,Pokémon,Temporal Forces,21,{G},0
Bramblin,Pokémon,Temporal Forces,20,{G},0
Dhelmise,Pokémon,Temporal Forces,19,{G},0
Grubbin,Pokémon,Temporal Forces,18,{G},0
Sawsbuck,Pokémon,Temporal Forces,17,{G},0
Deerling,Pokémon,Temporal Forces,16,{G},0
Whimsicott,Pokémon,Temporal Forces,15,{G},0
Cottonee,Pokémon,Temporal Forces,14,{G},0
Shaymin,Pokémon,Temporal Forces,13,{G},0
Torterra ex,Pokémon,Temporal Forces,12,{G},0
Grotle,Pokémon,Temporal Forces,11,{G},0
Turtwig,Pokémon,Temporal Forces,10,{G},0
Roserade,Pokémon,Temporal Forces,9,{G},0
Roselia,Pokémon,Temporal Forces,8,{G},0
Breloom,Pokémon,Temporal Forces,7,{G},0
Shroomish,Pokémon,Temporal Forces,6,{G},0
Shiftry,Pokémon,Temporal Forces,5,{G},0
Nuzleaf,Pokémon,Temporal Forces,4,{G},0
Seedot,Pokémon,Temporal Forces,3,{G},0
Pineco,Pokémon,Temporal Forces,2,{G},0
Scyther,Pokémon,Temporal Forces,1,{G},0
Sprigatito ex,Pokémon,Scarlet & Violet Promos,87,{G},0
Mabosstiff ex,Pokémon,Scarlet & Violet Promos,86,{D},0
Quaquaval ex,Pokémon,Scarlet & Violet Promos,84,{W},0
Quaxwell,Pokémon,Scarlet & Violet Promos,83,{W},0
Quaxly,Pokémon,Scarlet & Violet Promos,82,{W},0
Skeledirge ex,Pokémon,Scarlet & Violet Promos,81,{R},0
Crocalor,Pokémon,Scarlet & Violet Promos,80,{R},0
Fuecoco,Pokémon,Scarlet & Violet Promos,79,{R},0
Meowscarada ex,Pokémon,Scarlet & Violet Promos,78,{G},0
Tentacruel,Pokémon,151,73,{W},0
Tentacool,Pokémon,151,72,{W},0
Victreebel,Pokémon,151,71,{G},0
Weepinbell,Pokémon,151,70,{G},0
Bellsprout,Pokémon,151,69,{G},0
Machamp,Pokémon,151,68,{F},0
Machoke,Pokémon,151,67,{F},0
Machop,Pokémon,151,66,{F},0
Alakazam ex,Pokémon,151,65,{P},0
Kadabra,Pokémon,151,64,{P},0
Abra,Pokémon,151,63,{P},0
Poliwrath,Pokémon,151,62,{W},0
Poliwhirl,Pokémon,151,61,{W},0
Poliwag,Pokémon,151,60,{W},0
Arcanine,Pokémon,151,59,{R},0
Growlithe,Pokémon,151,58,{R},0
Primeape,Pokémon,151,57,{F},0
Mankey,Pokémon,151,56,{F},0
Golduck,Pokémon,151,55,{W},0
Psyduck,Pokémon,151,54,{W},0
Persian,Pokémon,151,53,{C},0
Meowth,Pokémon,151,52,{C},0
Snorlax,Pokémon,Scarlet & Violet Promos,51,{C},0
Dugtrio,Pokémon,151,51,{F},0
Diglett,Pokémon,151,50,{F},0
Venomoth,Pokémon,151,49,{G},0
Venonat,Pokémon,151,48,{G},0
Squirtle,Pokémon,Scarlet & Violet Promos,48,{W},0
Parasect,Pokémon,151,47,{G},0
Charmander,Pokémon,Scarlet & Violet Promos,47,{R},0
Paras,Pokémon,151,46,{G},0
Bulbasaur,Pokémon,Scarlet & Violet Promos,46,{G},0
Vileplume,Pokémon,151,45,{G},0
Gloom,Pokémon,151,44,{G},0
Oddish,Pokémon,151,43,{G},0
Golbat,Pokémon,151,42,{D},0
Zubat,Pokémon,151,41,{D},0
Wigglytuff ex,Pokémon,151,40,{C},0
Jigglypuff,Pokémon,151,39,{C},0
Ninetales ex,Pokémon,151,38,{R},0
Vulpix,Pokémon,151,37,{R},0
Clefable,Pokémon,151,36,{P},0
Clefairy,Pokémon,151,35,{P},0
Nidoking,Pokémon,151,34,{D},0
Nidorino,Pokémon,151,33,{D},0
Nidoran Male,Pokémon,151,32,{D},0
Nidoqueen,Pokémon,151,31,{D},0
Nidorina,Pokémon,151,30,{D},0
Nidoran Female,Pokémon,151,29,{D},0
Sandslash,Pokémon,151,28,{F},0
Sandshrew,Pokémon,151,27,{F},0
Raichu,Pokémon,151,26,{L},0
Pikachu,Pokémon,151,25,{L},0
Arbok ex,Pokémon,151,24,{D},0
Ekans,Pokémon,151,23,{D},0
Fearow,Pokémon,151,22,{C},0
Spearow,Pokémon,151,21,{C},0
Raticate,Pokémon,151,20,{C},0
Rattata,Pokémon,151,19,{C},0
Pidgeot,Pokémon,151,18,{C},0
Rescue Board,Trainer,Twilight Masquerade,225,0,Pokémon Tool
Enhanced Hammer,Trainer,Twilight Masquerade,224,0,Item
Buddy-Buddy Poffin,Trainer,Twilight Masquerade,223,0,Item
Bloodmoon Ursaluna ex,Pokémon,Twilight Masquerade,222,{C},0
Teal Mask Ogerpon ex,Pokémon,Twilight Masquerade,221,{G},0
Perrin,Trainer,Twilight Masquerade,220,0,Supporter
Lana’s Aid,Trainer,Twilight Masquerade,219,0,Supporter
Kieran,Trainer,Twilight Masquerade,218,0,Supporter
Carmine,Trainer,Twilight Masquerade,217,0,Supporter
Bloodmoon Ursaluna ex,Pokémon,Twilight Masquerade,216,{C},0
Cornerstone Mask Ogerpon ex,Pokémon,Twilight Masquerade,215,{F},0
Greninja ex,Pokémon,Twilight Masquerade,214,{F},0
Wellspring Mask Ogerpon ex,Pokémon,Twilight Masquerade,213,{W},0
Hearthflame Mask Ogerpon ex,Pokémon,Twilight Masquerade,212,{R},0
Teal Mask Ogerpon ex,Pokémon,Twilight Masquerade,211,{G},0
Sinistcha ex,Pokémon,Twilight Masquerade,210,{G},0
Perrin,Trainer,Twilight Masquerade,209,0,Supporter
Lucian,Trainer,Twilight Masquerade,208,0,Supporter
Lana’s Aid,Trainer,Twilight Masquerade,207,0,Supporter
Kieran,Trainer,Twilight Masquerade,206,0,Supporter
Hassel,Trainer,Twilight Masquerade,205,0,Supporter
Carmine,Trainer,Twilight Masquerade,204,0,Supporter
Caretaker,Trainer,Twilight Masquerade,203,0,Supporter
Bloodmoon Ursaluna ex,Pokémon,Twilight Masquerade,202,{C},0
Blissey ex,Pokémon,Twilight Masquerade,201,{C},0
Dragapult ex,Pokémon,Twilight Masquerade,200,{N},0
Cornerstone Mask Ogerpon ex,Pokémon,Twilight Masquerade,199,{F},0
Greninja ex,Pokémon,Twilight Masquerade,198,{F},0
Scream Tail ex,Pokémon,Twilight Masquerade,197,{P},0
Iron Thorns ex,Pokémon,Twilight Masquerade,196,{L},0
Luxray ex,Pokémon,Twilight Masquerade,195,{L},0
Wellspring Mask Ogerpon ex,Pokémon,Twilight Masquerade,194,{W},0
Palafin ex,Pokémon,Twilight Masquerade,193,{W},0
Hearthflame Mask Ogerpon ex,Pokémon,Twilight Masquerade,192,{R},0
Magcargo ex,Pokémon,Twilight Masquerade,191,{R},0
Teal Mask Ogerpon ex,Pokémon,Twilight Masquerade,190,{G},0
Sinistcha ex,Pokémon,Twilight Masquerade,189,{G},0
Eevee,Pokémon,Twilight Masquerade,188,{C},0
Chansey,Pokémon,Twilight Masquerade,187,{C},0
Tatsugiri,Pokémon,Twilight Masquerade,186,{N},0
Applin,Pokémon,Twilight Masquerade,185,{N},0
Lairon,Pokémon,Twilight Masquerade,184,{M},0
Timburr,Pokémon,Twilight Masquerade,183,{F},0
Probopass,Pokémon,Twilight Masquerade,182,{F},0
Hisuian Growlithe,Pokémon,Twilight Masquerade,181,{F},0
Enamorus,Pokémon,Twilight Masquerade,180,{P},0
Chimecho,Pokémon,Twilight Masquerade,179,{P},0
Wattrel,Pokémon,Twilight Masquerade,178,{L},0
Heliolisk,Pokémon,Twilight Masquerade,177,{L},0
Cramorant,Pokémon,Twilight Masquerade,176,{W},0
Phione,Pokémon,Twilight Masquerade,175,{W},0
Froslass,Pokémon,Twilight Masquerade,174,{W},0
Infernape,Pokémon,Twilight Masquerade,173,{R},0
Torkoal,Pokémon,Twilight Masquerade,172,{R},0
Poltchageist,Pokémon,Twilight Masquerade,171,{G},0
Dipplin,Pokémon,Twilight Masquerade,170,{G},0
Sunflora,Pokémon,Twilight Masquerade,169,{G},0
Pinsir,Pokémon,Twilight Masquerade,168,{G},0
Legacy Energy,Energy,Twilight Masquerade,167,{G},0
Boomerang Energy,Energy,Twilight Masquerade,166,{G},0
Houndoom ex,Pokémon,Scarlet & Violet Promos,103,{D},0
Grafaiai ex,Pokémon,Scarlet & Violet Promos,100,{C},0
Shroodle,Pokémon,Scarlet & Violet Promos,99,{C},0
Raging Bolt ex,Pokémon,Temporal Forces,218,{N},0
Iron Boulder ex,Pokémon,Temporal Forces,217,{F},0
Iron Crown ex,Pokémon,Temporal Forces,216,{P},0
Walking Wake ex,Pokémon,Temporal Forces,215,{W},0
Gouging Fire ex,Pokémon,Temporal Forces,214,{R},0
Iron Leaves ex,Pokémon,Temporal Forces,213,{G},0
Salvatore,Trainer,Temporal Forces,212,0,Supporter
Morty’s Conviction,Trainer,Temporal Forces,211,0,Supporter
Eri,Trainer,Temporal Forces,210,0,Supporter
Bianca’s Devotion,Trainer,Temporal Forces,209,0,Supporter
Raging Bolt ex,Pokémon,Temporal Forces,208,{N},0
Iron Boulder ex,Pokémon,Temporal Forces,207,{F},0
Iron Crown ex,Pokémon,Temporal Forces,206,{P},0
Walking Wake ex,Pokémon,Temporal Forces,205,{W},0
Gouging Fire ex,Pokémon,Temporal Forces,204,{R},0
Iron Leaves ex,Pokémon,Temporal Forces,203,{G},0
Salvatore,Trainer,Temporal Forces,202,0,Supporter
Morty’s Conviction,Trainer,Temporal Forces,201,0,Supporter
Explorer’s Guidance,Trainer,Temporal Forces,200,0,Supporter
Eri,Trainer,Temporal Forces,199,0,Supporter
Ciphermaniac’s Codebreaking,Trainer,Temporal Forces,198,0,Supporter
Bianca’s Devotion,Trainer,Temporal Forces,197,0,Supporter
Raging Bolt ex,Pokémon,Temporal Forces,196,{N},0
Scizor ex,Pokémon,Temporal Forces,195,{M},0
Farigiraf ex,Pokémon,Temporal Forces,194,{D},0
Gengar ex,Pokémon,Temporal Forces,193,{D},0
Iron Boulder ex,Pokémon,Temporal Forces,192,{F},0
Iron Crown ex,Pokémon,Temporal Forces,191,{P},0
Wugtrio ex,Pokémon,Temporal Forces,190,{L},0
Walking Wake ex,Pokémon,Temporal Forces,189,{W},0
Gouging Fire ex,Pokémon,Temporal Forces,188,{R},0
Incineroar ex,Pokémon,Temporal Forces,187,{R},0
Iron Leaves ex,Pokémon,Temporal Forces,186,{G},0
Torterra ex,Pokémon,Temporal Forces,185,{G},0
Drampa,Pokémon,Temporal Forces,184,{C},0
Cinccino,Pokémon,Temporal Forces,183,{C},0
Minccino,Pokémon,Temporal Forces,182,{C},0
Chatot,Pokémon,Temporal Forces,181,{C},0
Lickitung,Pokémon,Temporal Forces,180,{C},0
Meltan,Pokémon,Temporal Forces,179,{M},0
Metagross,Pokémon,Temporal Forces,178,{M},0
Gastly,Pokémon,Temporal Forces,177,{D},0
Arbok,Pokémon,Temporal Forces,176,{D},0
Mudsdale,Pokémon,Temporal Forces,175,{F},0
Excadrill,Pokémon,Temporal Forces,174,{F},0
Relicanth,Pokémon,Temporal Forces,173,{F},0
Cutiefly,Pokémon,Temporal Forces,172,{P},0
Reuniclus,Pokémon,Temporal Forces,171,{P},0
Bronzor,Pokémon,Temporal Forces,170,{P},0
Charjabug,Pokémon,Temporal Forces,169,{L},0
Snom,Pokémon,Temporal Forces,168,{W},0
Litten,Pokémon,Temporal Forces,167,{R},0
Sawsbuck,Pokémon,Temporal Forces,166,{G},0
Deerling,Pokémon,Temporal Forces,165,{G},0
Grotle,Pokémon,Temporal Forces,164,{G},0
Shiftry,Pokémon,Temporal Forces,163,{G},0
Neo Upper Energy,Energy,Temporal Forces,162,{G},0
Tinkaton,Pokémon,Paradox Rift,85,{P},0
Tinkatuff,Pokémon,Paradox Rift,84,{P},0
Tinkatink,Pokémon,Paradox Rift,83,{P},0
Tinkatink,Pokémon,Paradox Rift,82,{P},0
Espathra,Pokémon,Paradox Rift,81,{P},0
Flittle,Pokémon,Paradox Rift,80,{P},0
Flittle,Pokémon,Paradox Rift,79,{P},0
Gourgeist,Pokémon,Paradox Rift,78,{P},0
Pumpkaboo,Pokémon,Paradox Rift,77,{P},0
Cofagrigus ex,Pokémon,Paradox Rift,76,{P},0
Yamask,Pokémon,Paradox Rift,75,{P},0
Deoxys,Pokémon,Paradox Rift,74,{P},0
Latios,Pokémon,Paradox Rift,73,{P},0
Xatu,Pokémon,Paradox Rift,72,{P},0
Natu,Pokémon,Paradox Rift,71,{P},0
Iron Hands ex,Pokémon,Paradox Rift,70,{L},0
Toxel,Pokémon,Paradox Rift,69,{L},0
Tapu Koko ex,Pokémon,Paradox Rift,68,{L},0
Oricorio,Pokémon,Paradox Rift,67,{L},0
Zekrom,Pokémon,Paradox Rift,66,{L},0
Iron Bundle,Pokémon,Scarlet & Violet Promos,66,{W},0
Galvantula,Pokémon,Paradox Rift,65,{L},0
Arctibax,Pokémon,Scarlet & Violet Promos,64,{W},0
Joltik,Pokémon,Paradox Rift,64,{L},0
Cetitan,Pokémon,Scarlet & Violet Promos,63,{W},0
Zebstrika,Pokémon,Paradox Rift,63,{L},0
Sinistea,Pokémon,Scarlet & Violet Promos,62,{P},0
Blitzle,Pokémon,Paradox Rift,62,{L},0
Pineco,Pokémon,Scarlet & Violet Promos,61,{G},0
Minun,Pokémon,Paradox Rift,61,{L},0
Aegislash,Pokémon,Scarlet & Violet Promos,60,{M},0
Plusle,Pokémon,Paradox Rift,60,{L},0
Xatu,Pokémon,Scarlet & Violet Promos,59,{P},0
Elekid,Pokémon,Paradox Rift,59,{L},0
Iron Bundle,Pokémon,Scarlet & Violet Promos,58,{W},0
Mewtwo ex,Pokémon,Paradox Rift,58,{L},0
Chien-Pao,Pokémon,Paradox Rift,57,{W},0
Chi-Yu,Pokémon,Scarlet & Violet Promos,57,{R},0
Iron Bundle,Pokémon,Paradox Rift,56,{W},0
Dondozo,Pokémon,Paradox Rift,55,{W},0
Veluza,Pokémon,Paradox Rift,54,{W},0
Wugtrio,Pokémon,Paradox Rift,53,{W},0
Wiglett,Pokémon,Paradox Rift,52,{W},0
Wiglett,Pokémon,Paradox Rift,51,{W},0
Golisopod ex,Pokémon,Paradox Rift,50,{W},0
Golisopod,Pokémon,Paradox Rift,49,{W},0
Wimpod,Pokémon,Paradox Rift,48,{W},0
Wimpod,Pokémon,Paradox Rift,47,{W},0
Tsareena ex,Pokémon,Paradox Rift,46,{W},0
Vanilluxe,Pokémon,Paradox Rift,45,{W},0
Vanillish,Pokémon,Paradox Rift,44,{W},0
Vanillite,Pokémon,Paradox Rift,43,{W},0
Simipour,Pokémon,Paradox Rift,42,{W},0
Panpour,Pokémon,Paradox Rift,41,{W},0
Palkia,Pokémon,Paradox Rift,40,{W},0
Mantyke,Pokémon,Paradox Rift,39,{W},0
Garchomp ex,Pokémon,Paradox Rift,38,{W},0
Snorunt,Pokémon,Paradox Rift,37,{W},0
Milotic,Pokémon,Paradox Rift,36,{W},0
Feebas,Pokémon,Paradox Rift,35,{W},0
Pidgeotto,Pokémon,151,17,{C},0
Pidgey,Pokémon,151,16,{C},0
Beedrill,Pokémon,151,15,{G},0
Kakuna,Pokémon,151,14,{G},0
Weedle,Pokémon,151,13,{G},0
Butterfree,Pokémon,151,12,{G},0
Metapod,Pokémon,151,11,{G},0
Caterpie,Pokémon,151,10,{G},0
Blastoise ex,Pokémon,151,9,{W},0
Wartortle,Pokémon,151,8,{W},0
Squirtle,Pokémon,151,7,{W},0
Charizard ex,Pokémon,151,6,{R},0
Charmeleon,Pokémon,151,5,{R},0
Charmander,Pokémon,151,4,{R},0
Venusaur ex,Pokémon,151,3,{G},0
Ivysaur,Pokémon,151,2,{G},0
Bulbasaur,Pokémon,151,1,{G},0
Quaquaval ex,Pokémon,Scarlet & Violet Promos,35,{W},0
Skeledirge ex,Pokémon,Scarlet & Violet Promos,34,{R},0
Meowscarada ex,Pokémon,Scarlet & Violet Promos,33,{G},0
Kirlia,Pokémon,McDonald's Match Battle 2023,15,{P},0
Cyclizar,Pokémon,McDonald's Match Battle 2023,14,{C},0
Tandemaus,Pokémon,McDonald's Match Battle 2023,13,{C},0
Blissey,Pokémon,McDonald's Match Battle 2023,12,{C},0
Klawf,Pokémon,McDonald's Match Battle 2023,11,{F},0
Sandaconda,Pokémon,McDonald's Match Battle 2023,10,{F},0
Flittle,Pokémon,McDonald's Match Battle 2023,9,{P},0
Kilowattrel,Pokémon,McDonald's Match Battle 2023,8,{L},0
Pawmi,Pokémon,McDonald's Match Battle 2023,7,{L},0
Pikachu,Pokémon,McDonald's Match Battle 2023,6,{L},0
Cetitan,Pokémon,McDonald's Match Battle 2023,5,{W},0
Cetoddle,Pokémon,McDonald's Match Battle 2023,4,{W},0
Quaxly,Pokémon,McDonald's Match Battle 2023,3,{W},0
Fuecoco,Pokémon,McDonald's Match Battle 2023,2,{R},0
Sprigatito,Pokémon,McDonald's Match Battle 2023,1,{G},0
Charmander,Pokémon,Scarlet & Violet Promos,44,{R},0
Eevee,Pokémon,Scarlet & Violet Promos,43,{C},0
Houndstone,Pokémon,Scarlet & Violet Promos,42,{P},0
Paldean Wooper,Pokémon,Scarlet & Violet Promos,41,{D},0
Pawmi,Pokémon,Scarlet & Violet Promos,40,{L},0
Mawile,Pokémon,Scarlet & Violet Promos,39,{M},0
Togekiss,Pokémon,Scarlet & Violet Promos,38,{P},0
Cleffa,Pokémon,Scarlet & Violet Promos,37,{P},0
Palafin,Pokémon,Scarlet & Violet Promos,36,{W},0
Basic {R} Energy,Energy,Obsidian Flames,230,{W},0
Artazon,Trainer,Obsidian Flames,229,0,Stadium
Charizard ex,Pokémon,Obsidian Flames,228,{D},0
Poppy,Trainer,Obsidian Flames,227,0,Supporter
Geeta,Trainer,Obsidian Flames,226,0,Supporter
Pidgeot ex,Pokémon,Obsidian Flames,225,{C},0
Revavroom ex,Pokémon,Obsidian Flames,224,{M},0
Charizard ex,Pokémon,Obsidian Flames,223,{D},0
Eiscue ex,Pokémon,Obsidian Flames,222,{R},0
Ryme,Trainer,Obsidian Flames,221,0,Supporter
Poppy,Trainer,Obsidian Flames,220,0,Supporter
Ortega,Trainer,Obsidian Flames,219,0,Supporter
Geeta,Trainer,Obsidian Flames,218,0,Supporter
Pidgeot ex,Pokémon,Obsidian Flames,217,{C},0
Revavroom ex,Pokémon,Obsidian Flames,216,{M},0
Charizard ex,Pokémon,Obsidian Flames,215,{D},0
Luxurious Cape,Trainer,Paradox Rift,265,0,Pokémon Tool
Counter Catcher,Trainer,Paradox Rift,264,0,Item
Beach Court,Trainer,Paradox Rift,263,0,Stadium
Roaring Moon ex,Pokémon,Paradox Rift,262,{D},0
Iron Valiant ex,Pokémon,Paradox Rift,261,{P},0
Garchomp ex,Pokémon,Paradox Rift,260,{W},0
Tulip,Trainer,Paradox Rift,259,0,Supporter
Rika,Trainer,Paradox Rift,258,0,Supporter
Professor Turo’s Scenario,Trainer,Paradox Rift,257,0,Supporter
Professor Sada’s Vitality,Trainer,Paradox Rift,256,0,Supporter
Parasol Lady,Trainer,Paradox Rift,255,0,Supporter
Mela,Trainer,Paradox Rift,254,0,Supporter
Altaria ex,Pokémon,Paradox Rift,253,{N},0
Gholdengo ex,Pokémon,Paradox Rift,252,{M},0
Roaring Moon ex,Pokémon,Paradox Rift,251,{D},0
Sandy Shocks ex,Pokémon,Paradox Rift,250,{F},0
Iron Valiant ex,Pokémon,Paradox Rift,249,{P},0
